Kedziora,74,Poland,Dynamo Kyiv
Nuytinck,74,Netherlands,Udinese
Nakoulma,73,Burkina Faso,caykur Rizespor
Grunwald,73,Austria,FK Austria Wien
Perez,73,Argentina,San Lorenzo de Almagro
Prediger,73,Argentina,Club Atletico Tigre
Pied,73,France,LOSC Lille
Vydra,74,Czech Republic,Burnley
Tannane,73,Morocco,FC Utrecht
Kramaric,83,Croatia,TSG 1899 Hoffenheim
Barisic,72,Croatia,Rangers FC
Camara,72,Guinea,Olympiacos CFP
Maripan,77,Chile,Deportivo Alaves
Cesar,73,Slovenia,Chievo Verona
Francis,75,England,Bournemouth
Nkoulou,80,Cameroon,Torino
Mechele,76,Belgium,Club Brugge KV
Badelj,79,Croatia,Lazio
Glushakov,75,Russia,Spartak Moscow
Martinez,82,Venezuela,Atlanta United
Ward-Prowse,77,England,Southampton
Chandler,77,United States,Eintracht Frankfurt
Reichel,73,Germany,FC Union Berlin
Depay,84,Netherlands,Olympique Lyonnais
Sema,72,Sweden,Watford
Lunin,76,Ukraine,CD Leganes
Medina,72,Colombia,Monterrey
Suttner,72,Austria,Fortuna Dusseldorf
Byram,72,England,Nottingham Forest
Strakosha,82,Albania,Lazio
Gamba,74,Argentina,Club Atletico Huracan
Skrtel,80,Slovakia,Fenerbahce SK
Andreolli,72,Italy,Chievo Verona
Chavez,73,Argentina,Club Atletico Huracan
Guemez,72,Mexico,Mexico
Vaulks,72,England,Rotherham United
Herrera,82,Mexico,Mexico
Tekin,76,Turkey,Fenerbahce SK
Izzo,77,Italy,Torino
Romanczuk,72,Poland,Jagiellonia Bialystok
Babacan,77,Turkey,Medipol Basaksehir FK
N'Dinga,72,Congo,Sivasspor
Buyuk,73,Turkey,Yeni Malatyaspor
Toljan,73,Germany,Celtic
Gregoritsch,79,Austria,FC Augsburg
Casteels,83,Belgium,VfL Wolfsburg
Bammou,72,Morocco,Stade Malherbe Caen
Ings,76,England,Southampton
Odegaard,75,Norway,Vitesse
Frey,72,Switzerland,Fenerbahce SK
Gruezo,72,Ecuador,FC Dallas
Magnanelli,75,Italy,Sassuolo
Moravek,72,Czech Republic,FC Augsburg
Zuffi,76,Switzerland,FC Basel 1893
Wilson,74,Wales,Derby County
Aranguiz,72,Chile,FC Dallas
Kelly,75,England,Crystal Palace
Pulisic,78,United States,Borussia Dortmund
Pinola,77,Argentina,River Plate
Kadar,75,Hungary,Dynamo Kyiv
O'Connell,73,England,Sheffield United
Redmond,75,England,Southampton
Sobottka,72,Germany,Fortuna Dusseldorf
Zaha,82,Ivory Coast,Crystal Palace
Xhaka,81,Switzerland,Arsenal
Novikovas,72,Lithuania,Jagiellonia Bialystok
Kalinski,74,Argentina,Estudiantes de La Plata
Onisiwo,72,Austria,FSV Mainz 05
McGeady,73,Republic of Ireland,Sunderland
Dzeko,85,Bosnia Herzegovina,Roma
Romero,76,Paraguay,Shanghai Greenland Shenhua FC
Iwobi,78,Nigeria,Arsenal
Mendy,72,France,En Avant de Guingamp
Puncheon,72,England,Huddersfield Town
Sansone,76,Italy,Bologna
Mehmedi,77,Switzerland,VfL Wolfsburg
Bauer,73,Austria,Stoke City
Sancho,79,England,Borussia Dortmund
Gigliotti,77,Argentina,Deportivo Toluca
Dean,71,England,Birmingham City
Loftus-Cheek,78,England,Chelsea
Mandanda,82,France,Olympique de Marseille
Tadic,81,Serbia,Ajax
Lozano,74,Honduras,Girona FC
James,72,England,Leicester City
Jovic,81,Serbia,Eintracht Frankfurt
Dioudis,73,Greece,Panathinaikos FC
Kramer,71,Netherlands,FC Utrecht
Schiavone,71,Italy,Venezia FC
Nkunku,76,France,Paris Saint-Germain
Grytebust,74,Norway,Odense Boldklub
Danjuma Groeneveld,76,Netherlands,Club Brugge KV
Castagnetti,72,Italy,US Cremonese
Njie,73,Cameroon,Olympique de Marseille
Sallai,72,Hungary,SC Freiburg
Rodriguez,76,England,West Bromwich Albion
Valentini,71,Germany,FC Nurnberg
Chipciu,72,Romania,Sparta Praha
Dunk,78,England,Brighton & Hove Albion
Varane,86,France,Real Madrid
Vural,72,Turkey,Akhisar Belediyespor
Jedvaj,76,Croatia,Bayer 04 Leverkusen
Milligan,72,Australia,Hibernian
Keane,79,England,Everton
Haps,74,Netherlands,Feyenoord
Ravet,74,France,Grasshopper Club Zurich
Chara,75,Colombia,Portland Timbers
Yabo,73,Germany,DSC Arminia Bielefeld
Grujic,76,Serbia,Hertha BSC
Brenet,75,Netherlands,TSG 1899 Hoffenheim
Rispoli,73,Italy,Palermo
Baba,74,Ghana,Stade de Reims
Butelle,75,France,Angers SCO
Medel,79,Chile,Besiktas JK
Max,77,Germany,FC Augsburg
Molino,72,Trinidad & Tobago,Minnesota United FC
Cota,74,Mexico,Club Leon
Kessie,79,Ivory Coast,Milan
Lazzari,78,Italy,SPAL
Brady,76,Republic of Ireland,Burnley
Semenov,74,Russia,Russia
Theophile-Catherine,74,France,Dinamo Zagreb
Howard,72,United States,Colorado Rapids
Mendy,79,France,Olympique Lyonnais
Partey,82,Ghana,Atletico Madrid
Perrin,80,France,AS Saint-etienne
Montero,76,Colombia,Vancouver Whitecaps FC
Buonanotte,77,Argentina,Universidad Catolica
Vikonis,74,Uruguay,Puebla FC
Bialkowski,72,Poland,Ipswich Town
Boudebouz,79,Algeria,RC Celta
Hurtado,75,Peru,Atiker Konyaspor
Magnusson,73,Iceland,PFC CSKA Moscow
Roef,73,Belgium,Waasland-Beveren
Johnstone,75,England,West Bromwich Albion
Hamid,73,United States,DC United
Mbaye,73,Senegal,Bologna
Dost,83,Netherlands,Sporting CP
Cuadrado,76,Colombia,Atletico Nacional
Paredes,75,Chile,Chile
Delort,77,France,Montpellier HSC
Abraham,78,Argentina,Eintracht Frankfurt
Rode,76,Germany,Eintracht Frankfurt
Latovlevici,71,Romania,Bursaspor
Ndombele,80,France,Olympique Lyonnais
Dewaest,74,Belgium,KRC Genk
Barzagli,83,Italy,Juventus
Arboleda,72,Colombia,Independiente Santa Fe
Inglese,77,Italy,Parma
Lux,72,Argentina,River Plate
Umtiti,87,France,FC Barcelona
Hubnik,74,Czech Republic,Viktoria Plzen
Laifis,74,Cyprus,Standard de Liege
Wilczek,73,Poland,Brondby IF
Lerager,75,Denmark,Genoa
Martinez,72,Argentina,Reading
Vela,81,Mexico,Los Angeles FC
Waldschmidt,74,Germany,SC Freiburg
Alaba,84,Austria,FC Bayern Munchen
Wernbloom,79,Sweden,PAOK
Balogun,75,Nigeria,Brighton & Hove Albion
Duarte,76,Costa Rica,RCD Espanyol
Olsen,78,Sweden,Roma
Kums,75,Belgium,RSC Anderlecht
Kakuta,75,DR Congo,Rayo Vallecano
Kace,72,Albania,Panathinaikos FC
Djenepo,72,Mali,Standard de Liege
Kouame,73,Ivory Coast,Genoa
Pasquini,73,Argentina,Club Atletico Lanus
Ayew,77,Ghana,Fenerbahce SK
Rodriguez,72,Chile,U.N.A.M.
Petagna,76,Italy,SPAL
Defrel,78,France,Sampdoria
Castro,72,Colombia,Kaizer Chiefs
Hendrix,77,Netherlands,PSV
Salah,89,Egypt,Liverpool
Brosinski,76,Germany,FSV Mainz 05
Gosling,74,England,Bournemouth
Luongo,73,Australia,Queens Park Rangers
Kramer,81,Germany,Borussia Monchengladbach
Hinterseer,74,Austria,VfL Bochum 1848
Benedetti,74,Colombia,Club America
Majer,73,Croatia,Dinamo Zagreb
Walter,72,France,OGC Nice
Borini,76,Italy,Milan
Diop,74,Spain,Olympique Lyonnais
Valdifiori,75,Italy,SPAL
En-Nesyri,74,Morocco,CD Leganes
Pezzella,80,Argentina,Fiorentina
Lucumi,72,Colombia,Atletico Nacional
Volland,81,Germany,Bayer 04 Leverkusen
Dominguez,77,Argentina,Racing Club
Borner,72,Germany,DSC Arminia Bielefeld
Radu,72,Romania,Genoa
Klose,75,Switzerland,Norwich City
Vietto,75,Argentina,Fulham
Banana,73,Cameroon,Cameroon
Cristaldo,72,Argentina,Racing Club
Drobny,72,Czech Republic,Fortuna Dusseldorf
Emond,73,Belgium,Standard de Liege
Guthmundsson,79,Iceland,Burnley
Saponara,78,Italy,Sampdoria
Erdinc,72,Turkey,Antalyaspor
Jimenez,72,Colombia,Lobos BUAP
Yarmolenko,80,Ukraine,West Ham United
Kainz,75,Austria,FC Koln
Lemoine,73,France,FC Lorient
Szymanowski,77,Argentina,CD Leganes
Tello,72,Colombia,Benevento
Conti,76,Argentina,SL Benfica
Schwegler,75,Switzerland,Hannover 96
M'Vila,80,France,AS Saint-etienne
Phillips,74,England,Leeds United
Lenglet,82,France,FC Barcelona
Estigarribia,74,Paraguay,Club Atletico Colon
Aguilera,72,Argentina,Club America
Ceravolo,72,Italy,Parma
Pavlovic,75,Croatia,Angers SCO
Dordevic,73,Serbia,Chievo Verona
Gentiletti,73,Argentina,Albacete BP
Meza,78,Argentina,Argentina
Ingason,73,Iceland,PAOK
Ekdal,77,Sweden,Sampdoria
Kone,75,Ivory Coast,RC Strasbourg Alsace
Kohr,77,Germany,Bayer 04 Leverkusen
Ferreyra,77,Argentina,RCD Espanyol
Sand,77,Argentina,Club Atletico Lanus
Smolov,81,Russia,Lokomotiv Moscow
Seri,80,Ivory Coast,Fulham
Sturaro,75,Italy,Genoa
Yanga-Mbiwa,73,France,Olympique Lyonnais
Van der Wiel,73,Netherlands,Toronto FC
Salcedo,73,Paraguay,Club Atletico Huracan
Ortiz,74,Paraguay,Paraguay
Ter Stegen,89,Germany,FC Barcelona
Viera,74,Paraguay,Godoy Cruz
Chimino,73,Argentina,Club Atletico Huracan
Barrios,78,Colombia,Colombia
Doucoure,81,France,Watford
Karamoh,76,France,FC Girondins de Bordeaux
Andre,77,France,Stade Rennais FC
Mitrita,74,Romania,New York City FC
Kamara,72,France,Olympique de Marseille
Omlin,72,Switzerland,Switzerland
De Blasis,74,Argentina,SD Eibar
Keseru,73,Romania,Romania
Ralls,74,England,Cardiff City
Vainqueur,76,France,AS Monaco
Soto,71,Argentina,Racing Club
Kenny,73,England,Everton
